Direction,trades_count,total_pnl,mean_pnl,win_rate,avg_size_usd
auto-deleveraging,8,57478.456026,7184.80700325,1.0,21188.46875
buy,16716,0.0,0.0,0.0,1866.2836228762862
close long,48678,3622929.387547,74.42642235808783,0.8769053781995974,7851.868377706561
close short,36013,3709800.104576,103.0128038368367,0.7793852220031655,4992.666359370227
liquidated isolated short,1,-12752.91304,-12752.91304,0.0,32910.88
long > short,57,1991.379008,34.9364738245614,0.7192982456140351,15647.756140350877
open long,49895,0.0,0.0,0.0,7619.429500150316
open short,39741,0.0,0.0,0.0,4667.342607886063
sell,19902,2906748.415633,146.05308087795197,0.804190533614712,1512.8526836498845
settlement,1,-29.215368,-29.215368,0.0,782.83
short > long,70,10793.329053999998,154.19041505714281,0.8714285714285714,15946.603428571429
spot dust conversion,142,0.0,0.0,0.0,0.1797887323943662
